,_id,id,vertical,FS,description,price
74,63c3dd9ea85c4e5eed251e01,75,education,Kayaking coach, Experienced in working with both recreational and competitive kayakers.,151
75,63c3dd9ea85c4e5eed251e02,76,education,Kayaking coach, Skilled in teaching kayak-handling and control skills.,155
76,63c3dd9ea85c4e5eed251e03,77,education,Kayaking coach, Adept at working with a variety of different kayak types and models.,153
77,63c3dd9ea85c4e5eed251e04,78,education,Kayaking coach, Strong understanding of how to select and outfit a kayak for different environments.,153
78,63c3dd9ea85c4e5eed251e05,79,education,Kayaking coach, Proficient in teaching essential safety and survival skills.,151
79,63c3dd9ea85c4e5eed251e06,80,education,Kayaking coach, Experienced in working with people who have never been kayaking before.,151
80,63c3dd9ea85c4e5eed251e07,81,education,Kayaking coach, Skilled in instructing on river reading and hazard identification,151
81,63c3dd9ea85c4e5eed251e08,82,education,Kayaking coach, Adept at teaching basic and advance kayak maneuvers.,153
82,63c3dd9ea85c4e5eed251e09,83,education,Kayaking coach, Strong understanding of tides,154
83,63c3dd9ea85c4e5eed251e0a,84,education,Kayaking coach, Proficient in teaching kayak-specific rescue and recovery techniques.,152
84,63c3dd9ea85c4e5eed251e0b,85,education,Kayaking coach, Experienced in working with people of all ages and skill levels.,154
85,63c3dd9ea85c4e5eed251e0c,86,education,Kayaking coach, Skilled in teaching river-specific paddling skills.,151
86,63c3dd9ea85c4e5eed251e0d,87,education,Kayaking coach, Adept at teaching advanced strokes and maneuvers for increased control and speed.,154
87,63c3dd9ea85c4e5eed251e0e,88,education,Kayaking coach, Strong understanding of the principles of kayak design and dynamics.,153
88,63c3dd9ea85c4e5eed251e0f,89,education,Kayaking coach, Proficient in teaching proper kayak-fitting and outfitting.,151
89,63c3dd9ea85c4e5eed251e10,90,education,Kayaking coach, Experienced in working with advanced kayaking techniques.,155
90,63c3dd9ea85c4e5eed251e11,91,education,Kayaking coach, Skilled in providing personalized coaching to improve paddling skills.,151
91,63c3dd9ea85c4e5eed251e12,92,education,Kayaking coach, Adept at teaching the basics of kayaking,153
92,63c3dd9ea85c4e5eed251e13,93,education,Kayaking coach, Strong understanding of the different types of kayaking and their appropriate uses.,151
93,63c3dd9ea85c4e5eed251e14,94,education,Kayaking coach, Proficient in teaching paddling techniques for different skill levels and different types of water.,154
94,63c3dd9ea85c4e5eed251e15,95,education,Kayaking coach, Experienced in working with adaptive kayaking and teaching to people with disabilities.,155
95,63c3dd9ea85c4e5eed251e16,96,education,Kayaking coach, Skilled in working with people from a variety of backgrounds and skill,154
96,63c3dd9ea85c4e5eed251e17,99,education,Pure Math teacher, Experienced Pure Math teacher with strong analytical and problem-solving skills.,25
97,63c3dd9ea85c4e5eed251e18,100,education,Pure Math teacher, Skilled in teaching advanced mathematical concepts and theories.,25
98,63c3dd9ea85c4e5eed251e19,101,education,Pure Math teacher, Knowledgeable in Calculus,23
99,63c3dd9ea85c4e5eed251e1a,102,education,Pure Math teacher, Adept at using technology and interactive resources to enhance student learning.,22
100,63c3dd9ea85c4e5eed251e1b,103,education,Pure Math teacher, Strong understanding of mathematical principles and their applications in real-world problems.,25
101,63c3dd9ea85c4e5eed251e1c,104,education,Pure Math teacher, Proficient in differentiating instruction and providing support to diverse learners.,23
102,63c3dd9ea85c4e5eed251e1d,105,education,Pure Math teacher, Experienced in designing and implementing effective lesson plans and assessments.,24
103,63c3dd9ea85c4e5eed251e1e,106,education,Pure Math teacher, Skilled in leading interactive discussions and group problem-solving activities.,21
104,63c3dd9ea85c4e5eed251e1f,107,education,Pure Math teacher, Adept at providing individualized instruction to meet the needs of each student.,25
105,63c3dd9ea85c4e5eed251e20,108,education,Pure Math teacher, Strong understanding of mathematical concepts and how to teach them in an engaging manner.,25
106,63c3dd9ea85c4e5eed251e21,109,education,Pure Math teacher, Proficient in working with students of all levels,21
107,63c3dd9ea85c4e5eed251e22,110,education,Pure Math teacher, Experienced in creating and implementing math competitions and contests.,23
108,63c3dd9ea85c4e5eed251e23,111,education,Pure Math teacher, Skilled in leading extra-curricular activities related to math and science.,24
109,63c3dd9ea85c4e5eed251e24,112,education,Pure Math teacher, Adept at providing accurate and constructive feedback to students on their performance.,25
110,63c3dd9ea85c4e5eed251e25,113,education,Pure Math teacher, Strong understanding of current trends and best practices in math education.,22
111,63c3dd9ea85c4e5eed251e26,114,education,Pure Math teacher, Proficient in creating and using visual aids and multimedia resources to enhance instruction.,21
112,63c3dd9ea85c4e5eed251e27,115,education,Pure Math teacher, Experienced in working with students to develop their critical thinking and problem-solving skills.,24
113,63c3dd9ea85c4e5eed251e28,116,education,Pure Math teacher, Skilled in using formative and summative assessment techniques to evaluate student learning.,25
114,63c3dd9ea85c4e5eed251e29,117,education,Pure Math teacher, Adept at using technology to create interactive and engaging lessons.,22
115,63c3dd9ea85c4e5eed251e2a,118,education,Pure Math teacher, Strong understanding of Common Core State Standards and other curriculum guidelines.,24
116,63c3dd9ea85c4e5eed251e2b,119,education,Pure Math teacher, Proficient in using data to inform instruction and improve student outcomes.,25
117,63c3dd9ea85c4e5eed251e2c,120,education,Pure Math teacher, Experienced in providing support to students who are struggling with math.,21
118,63c3dd9ea85c4e5eed251e2d,121,education,Pure Math teacher, Skilled in leading math-related field trips and other hands-on learning activities.,24
119,63c3dd9ea85c4e5eed251e2e,122,education,Pure Math teacher, Adept at working with other teachers to coordinate instruction and support student learning.,22
120,63c3dd9ea85c4e5eed251e2f,123,education,Pure Math teacher, Strong understanding of learning styles and how to differentiate instruction to meet individual student needs.,22
121,63c3dd9ea85c4e5eed251e30,124,education,Pure Math teacher, Proficient in creating and using rubrics to evaluate student work.,23
122,63c3dd9ea85c4e5eed251e31,125,education,Pure Math teacher, Experienced in leading math-related clubs and activities.,22
123,63c3dd9ea85c4e5eed251e32,126,education,Pure Math teacher, Skilled in working with families to support student learning and achievement.,25
124,63c3dd9ea85c4e5eed251e33,127,education,Pure Math teacher, Adept at providing support to English Language Learners.,21
125,63c3dd9ea85c4e5eed251e34,128,education,Pure Math teacher, Strong understanding of how to use technology to enhance instruction and improve student learning.,22
126,63c3dd9ea85c4e5eed251e35,129,education,Pure Math teacher, Proficient in working with students to set learning goals and monitor progress.,25
127,63c3dd9ea85c4e5eed251e36,130,education,Pure Math teacher, Experienced in providing differentiated instruction to meet the needs of diverse learners.,25
128,63c3dd9ea85c4e5eed251e37,131,education,Pure Math teacher, Skilled in using data to inform instruction and identify areas for improvement.,25
129,63c3dd9ea85c4e5eed251e38,132,education,Pure Math teacher, Adept at leading small-group instruction and support for students.,25
130,63c3dd9ea85c4e5eed251e39,133,education,Pure Math teacher, Strong understanding of how to use technology to assess student understanding.,24
131,63c3dd9ea85c4e5eed251e3a,134,education,Pure Math teacher, Proficient in using a variety of teaching strategies to meet the needs of different learners.,24
132,63c3dd9ea85c4e5eed251e3b,135,education,Pure Math teacher, Experienced in providing individualized support to students who are struggling with math.,23
133,63c3dd9ea85c4e5eed251e3c,136,education,Pure Math teacher, Skilled in providing students with opportunities to apply their learning to real-world problems.,22
134,63c3dd9ea85c4e5eed251e3d,137,education,Pure Math teacher, Adept at working with parents and guardians to support student learning.,21
135,63c3dd9ea85c4e5eed251e3e,138,education,Pure Math teacher, Strong understanding of the importance of fostering a positive learning environment.,21
136,63c3dd9ea85c4e5eed251e3f,139,education,Pure Math teacher, Proficient in using formative and summative assessment to track student progress.,23
137,63c3dd9ea85c4e5eed251e40,140,education,Pure Math teacher, Experienced in creating engaging and interactive lesson to keep students engaged and motivated.,24
138,63c3dd9ea85c4e5eed251e41,141,education,Pure Math teacher, Skilled in providing opportunities for hands-on learning and experimentation.,23
139,63c3dd9ea85c4e5eed251e42,142,education,Pure Math teacher, Adept at using data to inform instruction and track student progress.,21
